check_name,status,severity,rows_affected,notes
no_duplicate_pwsid_in_master,pass,critical,0,One row per PWSID is required.
master_required_columns_present,pass,critical,0,Missing columns: 
risk_score_between_0_and_100,pass,critical,0,Scores must be bounded.
valid_risk_tiers_only,pass,critical,0,Risk tier names must match dashboard dictionary.
population_served_not_negative,pass,critical,0,Population served cannot be negative.
component_scores_between_0_and_100,pass,critical,0,Every normalized component must be within 0-100.
spatial_confidence_valid_not_null,pass,high,0,Spatial confidence is required and must use the geography hierarchy.
funding_match_confidence_valid_not_null,pass,high,0,Funding match confidence is required.
row_counts_by_stage,pass,high,0,"master=16339, geography=16339, funding=16339, risk=16339"
percent_missing_pws_name,pass,medium,1,0.0% missing.
percent_missing_county,pass,medium,192,1.2% missing.
percent_missing_population_served,pass,medium,0,0.0% missing.
top_20_systems_reviewed_for_obvious_errors,pass,medium,0,Top ranked rows have PWSID and explanation text.
geometry_source_tier_valid,pass,high,0,Every record needs a valid geometry source tier.
boundary_geojson_parseable_for_matched,pass,high,0,0 unparseable geometries; 0 matched systems missing a boundary.
no_duplicate_boundary_pwsid_after_dissolve,pass,critical,0,One boundary geometry per PWSID after dissolve.
boundary_count_reconciles_to_source,pass,high,0,raw=1077 unique_pwsid=1077 dissolved=1077 web_rows=1077 matched_in_geography=1077
simplified_geometry_area_delta_within_threshold,pass,medium,7,tolerance=5.0m avg_area_delta=0.002934404428705595 max_area_delta=0.08314393351226262 over_threshold=7 fraction_over=0.0065
map_boundaries_featurecollection_valid,pass,high,0,Assembled a valid FeatureCollection with 1077 boundary features.
swap_areas_parseable,pass,high,0,0 unparseable SWAP geometries of 7390.
swap_count_reconciles,pass,high,0,report_dissolved=7390 seed_areas=7390 distinct_pwsids=3756
swap_pwsid_coverage_present,pass,medium,3751,3751 scored systems have a source-protection area.
